ANNEE;DIPLOME_4CATEG;EQUIP_INT;HAUT_DEBIT
2009;1_CEP_AUCUN;37.2;33.4
2009;2_BEP_CAP_BEPC;71.3;64.1
2009;3_BAC;85.2;77.6
2009;4_ETUDE_SUP;90.2;84.7
2009;ENSEMBLE;67.2;61.4
2010;1_CEP_AUCUN;37.9;31.3
2010;2_BEP_CAP_BEPC;78.9;69.9
2010;3_BAC;89.5;83.4
2010;4_ETUDE_SUP;92.7;87.1
2010;ENSEMBLE;71.4;64.4
2011;1_CEP_AUCUN;48.8;42.8
2011;2_BEP_CAP_BEPC;80.9;73.1
2011;3_BAC;89.5;83.8
2011;4_ETUDE_SUP;92.7;89.9
2011;ENSEMBLE;75.6;69.8
2012;1_CEP_AUCUN;52.7;50.9
2012;2_BEP_CAP_BEPC;82.4;78.8
2012;3_BAC;90.6;87.2
2012;4_ETUDE_SUP;94.4;92.6
2012;ENSEMBLE;77.8;75.2
2013;1_CEP_AUCUN;54.8;51.5
2013;2_BEP_CAP_BEPC;83.4;79.5
2013;3_BAC;92.4;89.0
2013;4_ETUDE_SUP;95.5;92.8
2013;ENSEMBLE;79.8;76.5
2014;1_CEP_AUCUN;57.6;51.2
2014;2_BEP_CAP_BEPC;84.3;76.2
2014;3_BAC;92.1;86.3
2014;4_ETUDE_SUP;96.3;92.2
2014;ENSEMBLE;81.6;75.3
2015;1_CEP_AUCUN;55.9;48.7
2015;2_BEP_CAP_BEPC;83.3;76.1
2015;3_BAC;92.7;86.4
2015;4_ETUDE_SUP;95.9;91.3
2015;ENSEMBLE;81.4;75.0
2016;1_CEP_AUCUN;59.3;52.6
2016;2_BEP_CAP_BEPC;86.4;78.3
2016;3_BAC;94.8;88.3
2016;4_ETUDE_SUP;96.6;92.0
2016;ENSEMBLE;84.0;77.5
2017;1_CEP_AUCUN;62.1;55.1
2017;2_BEP_CAP_BEPC;86.1;77.3
2017;3_BAC;94.2;86.4
2017;4_ETUDE_SUP;97.0;92.1
2017;ENSEMBLE;84.8;77.7
2018;1_CEP_AUCUN;66.6;57.2
2018;2_BEP_CAP_BEPC;88.3;79.9
2018;3_BAC;94.4;87.8
2018;4_ETUDE_SUP;97.6;92.7
2018;ENSEMBLE;86.9;79.6
2019;1_CEP_AUCUN;65.9;57.4
2019;2_BEP_CAP_BEPC;90.3;81.0
2019;3_BAC;96.1;89.7
2019;4_ETUDE_SUP;97.5;92.7
2019;ENSEMBLE;88.0;80.6
